"sf__Id","sf__Error","Subject","ActivityDate","CallType","Status","OwnerId","WhoId"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktT5fIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRL1IAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/u to schedule AI","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000kt6EQIAY"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000kt6EQIAY"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktT5KIAU"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
