"Subject","ActivityDate","Type","Status","OwnerId","WhoId"
"KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQc3IAE"
"KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSTAIA2"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRLsIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQbLIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSEkIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSTiIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQapIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSUEIA2"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRwHIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQzJIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktNrxIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKcIAM"
"KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQzFIAU"
"F/up to schedule SI 2","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRwcIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKYIA2"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000kt6EOIAY"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000kt6EPIAY"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQX5IAM"
"F/up to schedule SI 2","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQzHIAU"
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSerIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQbEIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKtIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQz5IAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktNs4IAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQakIAE"
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRv7IAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRLYIA2"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRw3IAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQbFIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQyjIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSeqIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000kt6ERIAY"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQb1IAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktR0BIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRvrIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQaqIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSEcIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQzjIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
