"sf__Id","sf__Error","Id","TaskSubtype"
"00TVo00001EAdzXMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzXMAT","Call"
"00TVo00001EAdzYMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzYMAT","Call"
"00TVo00001EAdzZMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzZMAT","Call"
"00TVo00001EAdzaMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzaMAD","Call"
"00TVo00001EAdzbMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzbMAD","Call"
"00TVo00001EAdzcMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzcMAD","Call"
"00TVo00001EAdzdMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzdMAD","Call"
"00TVo00001EAdzeMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzeMAD","Call"
"00TVo00001EAdzfMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzfMAD","Call"
"00TVo00001EAdzgMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzgMAD","Call"
